index,Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk
0,77202,2/3/2018 22:56,Standard Class,3,4,Advance shipping,0
1,75939,1/18/2018 12:27,Standard Class,5,4,Late delivery,1
2,75938,1/17/2018 12:06,Standard Class,4,4,Shipping on time,0
3,75937,1/16/2018 11:45,Standard Class,3,4,Advance shipping,0
4,75936,1/15/2018 11:24,Standard Class,2,4,Advance shipping,0
5,75935,1/19/2018 11:03,Standard Class,6,4,Shipping canceled,0
6,75934,1/15/2018 10:42,First Class,2,1,Late delivery,1
7,75933,1/15/2018 10:21,First Class,2,1,Late delivery,1
8,75932,1/16/2018 10:00,Second Class,3,2,Late delivery,1
9,75931,1/15/2018 9:39,First Class,2,1,Late delivery,1
10,75930,1/19/2018 9:18,Second Class,6,2,Shipping canceled,0
11,75929,1/18/2018 8:57,Second Class,5,2,Late delivery,1
12,75928,1/17/2018 8:36,Second Class,4,2,Late delivery,1
13,75927,1/15/2018 8:15,First Class,2,1,Late delivery,1
14,75926,1/15/2018 7:54,First Class,2,1,Late delivery,1
15,75925,1/15/2018 7:33,First Class,2,1,Late delivery,1
16,75924,1/18/2018 7:12,Second Class,5,2,Late delivery,1
17,75923,1/15/2018 6:51,First Class,2,1,Late delivery,1
18,75922,1/15/2018 6:30,First Class,2,1,Late delivery,1
19,75921,1/13/2018 18:09,Same Day,0,0,Shipping on time,0
20,75920,1/13/2018 17:48,Same Day,0,0,Shipping on time,0
21,75919,1/18/2018 5:27,Standard Class,5,4,Late delivery,1
22,75918,1/17/2018 5:06,Second Class,4,2,Late delivery,1
23,75917,1/16/2018 4:45,Second Class,3,2,Shipping canceled,0
24,75916,1/15/2018 4:24,Second Class,2,2,Shipping canceled,0
25,75915,1/19/2018 4:03,Second Class,6,2,Late delivery,1
26,75914,1/18/2018 3:42,Second Class,5,2,Late delivery,1
27,75913,1/17/2018 3:21,Standard Class,4,4,Shipping on time,0
28,75912,1/16/2018 3:00,Standard Class,3,4,Advance shipping,0
29,75911,1/15/2018 2:39,Standard Class,2,4,Advance shipping,0
30,75910,1/19/2018 2:18,Standard Class,6,4,Late delivery,1
31,75909,1/18/2018 1:57,Standard Class,5,4,Late delivery,1
32,75908,1/17/2018 1:36,Standard Class,4,4,Shipping on time,0
33,75907,1/15/2018 1:15,First Class,2,1,Late delivery,1
34,75906,1/15/2018 0:54,First Class,2,1,Late delivery,1
35,75905,1/15/2018 0:33,First Class,2,1,Late delivery,1
36,75904,1/15/2018 0:12,First Class,2,1,Late delivery,1
37,75903,1/14/2018 23:51,First Class,2,1,Late delivery,1
38,75902,1/13/2018 11:30,Same Day,1,0,Late delivery,1
39,75901,1/13/2018 11:09,Same Day,1,0,Shipping canceled,0
40,75900,1/13/2018 10:48,Same Day,1,0,Late delivery,1
41,75899,1/13/2018 10:27,Same Day,1,0,Late delivery,1
42,75898,1/16/2018 22:05,Standard Class,4,4,Shipping on time,0
43,75897,1/15/2018 21:44,Standard Class,3,4,Advance shipping,0
44,75896,1/14/2018 21:23,Standard Class,2,4,Advance shipping,0
45,75895,1/18/2018 21:02,Standard Class,6,4,Late delivery,1
46,75894,1/17/2018 20:41,Second Class,5,2,Late delivery,1
47,75893,1/16/2018 20:20,Standard Class,4,4,Shipping on time,0
48,28744,2/29/2016 13:57,Second Class,5,2,Late delivery,1
49,45461,10/27/2016 14:39,Second Class,2,2,Shipping on time,0
50,31115,4/5/2016 4:37,Second Class,6,2,Late delivery,1
51,45766,11/1/2016 1:31,Second Class,2,2,Shipping on time,0
52,47752,12/1/2016 1:18,Second Class,3,2,Late delivery,1
53,50054,1/5/2017 15:47,Second Class,5,2,Late delivery,1
54,20365,10/31/2015 6:24,Second Class,6,2,Late delivery,1
55,36146,6/13/2016 15:12,Second Class,2,2,Shipping on time,0
56,41234,8/29/2016 21:45,Second Class,5,2,Late delivery,1
57,32090,4/19/2016 10:12,Second Class,6,2,Late delivery,1
58,34773,5/26/2016 14:10,Second Class,4,2,Late delivery,1
59,44046,10/6/2016 22:55,Second Class,2,2,Shipping on time,0
60,46414,11/13/2016 12:32,Second Class,5,2,Late delivery,1
61,46599,11/16/2016 5:21,Second Class,5,2,Late delivery,1
62,48434,12/13/2016 0:14,Second Class,5,2,Late delivery,1
63,12827,7/10/2015 5:31,Second Class,3,2,Late delivery,1
64,63936,7/24/2017 7:16,Second Class,2,2,Shipping on time,0
65,65030,8/13/2017 6:33,Second Class,6,2,Late delivery,1
