Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk
77202,2/3/2018 22:56,Standard Class,3,4,Advance shipping,0
75939,1/18/2018 12:27,Standard Class,5,4,Late delivery,1
75938,1/17/2018 12:06,Standard Class,4,4,Shipping on time,0
75937,1/16/2018 11:45,Standard Class,3,4,Advance shipping,0
75936,1/15/2018 11:24,Standard Class,2,4,Advance shipping,0
75935,1/19/2018 11:03,Standard Class,6,4,Shipping canceled,0
75934,1/15/2018 10:42,First Class,2,1,Late delivery,1
75933,1/15/2018 10:21,First Class,2,1,Late delivery,1
75932,1/16/2018 10:00,Second Class,3,2,Late delivery,1
75931,1/15/2018 9:39,First Class,2,1,Late delivery,1
75930,1/19/2018 9:18,Second Class,6,2,Shipping canceled,0
75929,1/18/2018 8:57,Second Class,5,2,Late delivery,1
75928,1/17/2018 8:36,Second Class,4,2,Late delivery,1
75927,1/15/2018 8:15,First Class,2,1,Late delivery,1
75926,1/15/2018 7:54,First Class,2,1,Late delivery,1
75925,1/15/2018 7:33,First Class,2,1,Late delivery,1
75924,1/18/2018 7:12,Second Class,5,2,Late delivery,1
75923,1/15/2018 6:51,First Class,2,1,Late delivery,1
75922,1/15/2018 6:30,First Class,2,1,Late delivery,1
75921,1/13/2018 18:09,Same Day,0,0,Shipping on time,0
75920,1/13/2018 17:48,Same Day,0,0,Shipping on time,0
75919,1/18/2018 5:27,Standard Class,5,4,Late delivery,1
75918,1/17/2018 5:06,Second Class,4,2,Late delivery,1
75917,1/16/2018 4:45,Second Class,3,2,Shipping canceled,0
75916,1/15/2018 4:24,Second Class,2,2,Shipping canceled,0
75915,1/19/2018 4:03,Second Class,6,2,Late delivery,1
75914,1/18/2018 3:42,Second Class,5,2,Late delivery,1
75913,1/17/2018 3:21,Standard Class,4,4,Shipping on time,0
75912,1/16/2018 3:00,Standard Class,3,4,Advance shipping,0
75911,1/15/2018 2:39,Standard Class,2,4,Advance shipping,0
75910,1/19/2018 2:18,Standard Class,6,4,Late delivery,1
75909,1/18/2018 1:57,Standard Class,5,4,Late delivery,1
75908,1/17/2018 1:36,Standard Class,4,4,Shipping on time,0
75907,1/15/2018 1:15,First Class,2,1,Late delivery,1
75906,1/15/2018 0:54,First Class,2,1,Late delivery,1
75905,1/15/2018 0:33,First Class,2,1,Late delivery,1
75904,1/15/2018 0:12,First Class,2,1,Late delivery,1
75903,1/14/2018 23:51,First Class,2,1,Late delivery,1
75902,1/13/2018 11:30,Same Day,1,0,Late delivery,1
75901,1/13/2018 11:09,Same Day,1,0,Shipping canceled,0
75900,1/13/2018 10:48,Same Day,1,0,Late delivery,1
75899,1/13/2018 10:27,Same Day,1,0,Late delivery,1
75898,1/16/2018 22:05,Standard Class,4,4,Shipping on time,0
75897,1/15/2018 21:44,Standard Class,3,4,Advance shipping,0
75896,1/14/2018 21:23,Standard Class,2,4,Advance shipping,0
75895,1/18/2018 21:02,Standard Class,6,4,Late delivery,1
